"X","Y","DateTime"
"368.3","275.7","237606509300"
"301.3","211.3","237606517724"
"263.3","150.4","237606526099"
"184.6","78.7","237606534433"
"218.9","100.3","237606551033"
"239.1","102.4","237606559434"
"264.6","123.0","237606567600"
"267.6","147.3","237606575999"
"292.9","158.1","237606584451"
"339.2","180.2","237606592729"
"346.1","188.8","237606601069"
"363.9","204.1","237606626012"
"338.0","207.5","237606642767"
"342.9","283.3","237606651132"
"330.3","277.0","237606667666"
"345.7","284.2","237606684386"
"340.9","283.8","237606692675"
"429.9","263.2","237606717691"
"421.3","310.3","237606725955"
"387.6","266.5","237606734407"
"386.8","273.3","237606742620"
"386.3","275.2","237606767656"
"563.3","313.0","237606792663"
"419.0","290.3","237606809395"
"418.7","295.3","237606817765"
"418.7","302.2","237606825986"
"401.4","311.6","237606834420"
"402.4","308.5","237606842701"
"399.5","335.2","237606851060"
"416.2","332.1","237606867714"
"421.7","332.5","237606875912"
"441.8","374.0","237606900978"
"465.4","361.4","237606917779"
"466.5","361.4","237606926030"
"482.6","373.6","237606934369"
"487.3","378.6","237606942702"
"487.6","380.2","237606951105"
"479.1","369.7","237606967684"
"479.8","369.8","237606975939"
"480.9","372.5","237606992776"
"479.6","377.5","237607017610"
"482.9","376.0","237607026000"
"480.6","383.3","237607050969"
"483.8","378.6","237607067699"
"492.5","368.7","237607076028"
"474.0","372.2","237607092549"
"471.4","372.1","237607101010"
"456.2","356.7","237607117686"
"455.5","350.8","237607125914"
"445.7","339.1","237607142485"
"444.4","331.6","237607151057"
"441.8","334.4","237607167694"
"439.6","327.2","237607176013"
"419.2","321.1","237607192629"
"376.4","295.4","237607217731"
"372.5","224.3","237607225925"
"236.0","-28.9","237607234246"
"193.2","-82.8","237607250898"
"53.5","-148.0","237607275951"
"277.0","31.9","237607300923"
"253.2","-60.0","237607325870"
"95.8","-3.7","237607409227"
"38.9","-32.4","237607459367"
"939.8","684.6","237607684201"
"924.6","658.4","237607692596"
"922.3","660.9","237607717615"
"913.1","672.8","237607742584"
"922.7","696.6","237607759261"
"938.2","663.0","237607767541"
"936.9","658.8","237607775880"
"936.9","658.8","237607784271"
"941.9","704.6","237607792544"
"942.9","703.6","237607800820"
"939.9","701.7","237607809290"
"943.2","660.3","237607817550"
"939.9","693.8","237607825830"
"941.2","691.2","237607834090"
"939.5","648.0","237607842684"
"942.0","654.6","237607850907"
"942.0","654.6","237607859187"
"944.1","664.6","237607867607"
